OLD_URL,NEW_URL
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-swimwear-boardshorts,http://209.208.39.58:8999/swim
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-swimwear-rashguards,http://209.208.39.58:8999/swim
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-swimwear-swimsuits,http://209.208.39.58:8999/swim
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-vests,https://www.pedigreeskishop.com/kids-vests
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-vests-insulatedvests,https://www.pedigreeskishop.com/kids-vests-insulated
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior/brand/ARCTERYX,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior/brand/BOGNER%20OF%20AMERICA,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior/brand/DESCENTE%20AMERICA,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior/brand/KARBON,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior/brand/KJUS,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior/brand/PATAGONIA,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior/brand/SUN%20ICE,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-juniors-onepieceskisuits,http://209.208.39.58:8999/kids-suits
https://www.pedigreeskishop.com/category.cfm/ski/kids-performanceunderwear,http://209.208.39.58:8999/kids-layering
https://www.pedigreeskishop.com/category.cfm/ski/kids-performanceunderwear-bottoms,http://209.208.39.58:8999/kids-layering
https://www.pedigreeskishop.com/category.cfm/ski/kids-performanceunderwear-tops,http://209.208.39.58:8999/kids-layering
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler,http://209.208.39.58:8999/kids
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-footwear,https://www.pedigreeskishop.com/kids-footwear
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-footwear-sandals,http://209.208.39.58:8999/kids-footwear
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-footwear-tennisshoes,https://www.pedigreeskishop.com/kids-footwear-tennis-shoes
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-footwear-tennisshoes/brand/PATAGONIA,https://www.pedigreeskishop.com/kids-footwear-tennis-shoes
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-footwear-winterboots,https://www.pedigreeskishop.com/kids-footwear-winter-boots
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-hatsglovesandaccessories,http://209.208.39.58:8999/kids-accessories
